query,title,publicId,file,author,uploader,license,noteCount,duration,url
Pigstep,Minecraft - Pigstep,56a36XwSvD,nbw/Minecraft - Pigstep.nbs,Lena Raine,IsaEren,standard,6382,145.40713999197754,https://noteblock.world/song/56a36XwSvD
Lena Raine Pigstep,Pigstep - Minecraft OST,9qMOjGLGE5,nbw/Pigstep - Minecraft OST.nbs,Lena Raine,jukmifgguggh,cc_by_sa,3094,140.7111111111111,https://noteblock.world/song/9qMOjGLGE5
Onimai,Onimai OP,wZ5OxQ5uTl,nbw/Onimai OP.nbs,yashikin and Asuka Ogura.,levi48301,cc_by_sa,4239,237.60890609874153,https://noteblock.world/song/wZ5OxQ5uTl
sasakure UK,蜘蛛糸モノポリー (Prelude),lB0nJQjdZZ,nbw/蜘蛛糸モノポリー (Prelude).nbs,sasakure.UK,lyif233,standard,429,38.33458364591148,https://noteblock.world/song/lB0nJQjdZZ
YOASOBI Idol,[UNRELEASED] Yoasobi - Idol TV Size Ver.,uyrZddPpVL,nbw/[UNRELEASED] Yoasobi - Idol TV Size Ver..nbs,Yoasobi,vulkanrafar,standard,13615,89.65205603253503,https://noteblock.world/song/uyrZddPpVL
only my railgun,OnlyMyRailgun,Va0sLhQEmP,nbw/OnlyMyRailgun.nbs,Yaginuma Satoshi,Akitsuki4852,cc_by_sa,5682,90.25,https://noteblock.world/song/Va0sLhQEmP
Senbonzakura,千本桜/千本樱/せんぼんざくら/Senbonzakura,rEigh1H2Po,nbw/千本桜 千本樱 せんぼんざくら Senbonzakura.nbs,,CHNYinXianghan,cc_by_sa,8949,238.2439024390244,https://noteblock.world/song/rEigh1H2Po
Tell Your World,"Tell Your World (feat. HATSUNE MIKU) - livetune, Hatsune Miku",4lOJzNUzgv,"nbw/Tell Your World (feat. HATSUNE MIKU) - livetune, Hatsune Miku.nbs","livetune, HATSUNE MIKU",Inverted_Nexus1327,cc_by_sa,2647,243.4,https://noteblock.world/song/4lOJzNUzgv
Megalovania,Megalovania Undertale,nTaU9w8JVA,nbw/Megalovania Undertale.nbs,,lucasechesemarquesytmarques,cc_by_sa,4591,124.80000000000001,https://noteblock.world/song/nTaU9w8JVA
Hopes and Dreams,Field of Hopes and Dreams,l0ZSgbAmwB,nbw/Field of Hopes and Dreams.nbs,Toby Fox,Tzunamy,standard,82989,161.26612661266128,https://noteblock.world/song/l0ZSgbAmwB
